Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/input_safepay_password""), password)",Chrome 121.0.0.0,,,12-02-2024 08:18:01,12-02-2024 08:18:02,0.608s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_PAY NOW""))",Chrome 121.0.0.0,,,12-02-2024 08:18:02,12-02-2024 08:18:03,0.885s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:18:03,12-02-2024 08:18:04,1.719s,PASSED
"orderNumber = getText(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/orderNumberSpan""))",Chrome 121.0.0.0,,,12-02-2024 08:18:04,12-02-2024 08:18:05,0.236s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/span_airlangga""))",Chrome 121.0.0.0,,,12-02-2024 08:18:05,12-02-2024 08:18:05,0.252s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/label_My orders""))",Chrome 121.0.0.0,,,12-02-2024 08:18:05,12-02-2024 08:18:05,0.363s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:18:05,12-02-2024 08:18:07,2.075s,PASSED
"verifyTextPresent(orderNumber, false)",Chrome 121.0.0.0,,,12-02-2024 08:18:07,12-02-2024 08:18:07,0.245s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:18:07,12-02-2024 08:18:08,0.094s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:18:10,12-02-2024 08:18:10,0.001s,PASSED
,,,,,,,
Test Cases/transaction/Checkout Without Login or Signup,Chrome 121.0.0.0,,,12-02-2024 08:18:10,12-02-2024 08:18:22,12.491s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:18:10,12-02-2024 08:18:10,0.596s,PASSED
"randomNumber = current().nextInt(1, 11)",Chrome 121.0.0.0,,,12-02-2024 08:18:10,12-02-2024 08:18:10,0.012s,PASSED
"navigateToUrl(webURL + ""product/"" + randomNumber)",Chrome 121.0.0.0,,,12-02-2024 08:18:10,12-02-2024 08:18:15,4.236s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 08:18:15,12-02-2024 08:18:18,3.920s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_CHECKOUT  (1,279.00)""))",Chrome 121.0.0.0,,,12-02-2024 08:18:18,12-02-2024 08:18:19,0.669s,PASSED
"verifyTextPresent(""Already have an account?"", false)",Chrome 121.0.0.0,,,12-02-2024 08:18:19,12-02-2024 08:18:20,0.877s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:18:20,12-02-2024 08:18:20,0.084s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:18:22,12-02-2024 08:18:22,0.000s,PASSED
